Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Unemployment Rate,Military Expenditure,Total Tax Rate,Inflation,Population growth,Access to electricity,Fragile State
Central African Republic,2016,1st,90.718,9.2,10,9.3,8.6,9.9,7.2,9.8,10,9.9,8.7,10,9.5,3.5,4.8,2.8,2.5,1.1,8.6,Alert
Syria,2016,2nd,88.708,10,9.9,10,7.8,7.4,8.6,10,8.9,9.8,8.4,10,10,2,0.7,4.7,8.5,0,5.7,Alert
Sudan,2016,3rd,88.574,9.2,10,9.8,8.7,7.6,9.1,9.8,9.1,9.3,9,10,9.9,2,2.1,1.9,6.6,2.4,5.7,Alert
South Sudan,2016,4th,85.894,10,9.7,9.9,9.3,9,6.6,9.7,10,9.7,9.9,10,10,5.2,0.9,1.4,2.6,2.9,1.4,Alert
Somalia,2016,5th,84.085,9.7,10,9.4,9,9.3,9.5,9.5,9,9.7,9.7,9.7,9.5,2.7,0.6,1.9,3.4,2.9,0,Alert
Chad,2016,6th,83.549,9.1,9.8,8.5,8,9.3,8.9,9.2,9.8,9.3,9.9,9.8,8.5,5.3,3,0.5,2.7,3.1,0,Alert
Congo Democratic Republic,2016,7th,81.606,9.2,9.8,9.7,8.1,8.9,6.8,9.3,9.7,10,9.1,9.7,9.7,1.8,1.5,1.9,2.6,0,4,Alert
Angola,2016,8th,80.199,6.2,7.2,7.7,6.1,9.6,6.3,8.8,9.2,7.5,9,7.3,5.6,6.3,0,10,3.6,3.4,5.9,Alert
Uganda,2016,9th,80.132,7.3,8.9,9,6.7,7.6,7.6,8.3,8.5,8,8.7,9.1,8,3.6,1,2.9,3.8,3.3,7.3,Alert
Haiti,2016,10th,79.462,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9,1.6,2.7,1.5,4.8,1.3,1.6,Alert
Cameroon,2016,11th,78.792,8.1,9.4,8.5,6.3,8.1,7.8,8.7,8.9,7.7,8.3,8,8,5.8,2.5,0.8,4.2,2.6,3.9,Alert
Zimbabwe,2016,12th,78.725,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7,2.6,0.6,2.4,2.9,2.3,6.2,Alert
Afghanistan,2016,13th,78.658,10,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9,1.9,0,2.1,2.8,2.7,0,Alert
Iraq,2016,14th,78.122,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7,4.8,0,1.2,2.9,3,0,Alert
Yemen,2016,15th,77.787,10,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10,0,0,1.6,3,0,0,Alert
Burundi,2016,16th,76.782,9,8.5,8.1,8.2,7.4,6.5,9,8.2,8.5,9.5,9.1,8.7,0.1,0.9,2.1,3.8,3.1,3.9,Alert
Kenya,2016,17th,76.112,8.5,8.9,9.1,7.4,8,7.8,7.8,8.2,7.2,9.1,8,8.3,1.1,1.2,3.6,2.4,2.6,4.4,Alert
Nigeria,2016,18th,75.911,9.7,9.9,9.4,7.7,8.8,7.4,8.8,9.4,9.1,9.1,7.7,6.5,1.2,1.1,1.3,3.6,2.6,0,Alert
Liberia,2016,19th,75.375,6.6,8.3,6,8.3,8.6,6.9,7,9.5,6.7,9.2,8.9,9.5,0.4,1.6,1.5,3,2.5,8,Alert
Pakistan,2016,20th,74.839,9.3,8.9,9.7,7.4,7,7.3,8.3,8.2,8.2,8.9,8.9,9.6,3.6,0,1.3,3,2,0.1,Alert
Cote d Ivoire,2016,21st,73.834,7.7,9.4,8.3,6.8,8.2,7,8.1,8.7,8.1,8.2,8,9.4,8.2,0.7,0.7,2.7,0,0,Alert
Djibouti,2016,22nd,72.829,6.6,7.3,6.7,7.1,8.1,5.5,7.9,8.1,7.5,8.5,7.5,8.9,3.5,5.2,2.2,1.7,1.6,4.8,Alert
Guinea Bissau,2016,23rd,72.494,9.1,9.6,5.4,8.5,8.7,8.3,8.9,9.5,7.5,8.3,7.5,8.5,3.5,0.9,1.1,2.9,0,0,Alert
Myanmar,2016,24th,72.36,8.4,8.6,9.9,6.4,7.9,6,8.7,8.7,8.6,7.3,8.3,7.5,0.9,0.9,1.6,3.1,0.9,4.3,Alert
Niger,2016,25th,72.293,8.9,8.9,7.7,8,8.2,7.2,7.8,9.2,6.7,9.5,8,8.3,0.7,0,1.3,3.7,3.8,0,Alert
Timor-Leste,2016,26th,71.824,7.4,8.3,6.7,8.1,7,7.3,7.1,8.7,5.5,9.2,6.5,9,1.4,1.4,2.9,2.8,2.2,5.7,Alert
Guinea,2016,27th,71.623,9,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6,0.3,0,0.3,0,2.5,0,Alert
Papua New Guinea,2016,28th,71.154,7.2,7.1,6.5,5.8,9.3,7.4,7,9.2,7.1,7.9,4.7,7,3.8,1.2,1.7,3.5,2.1,7.7,Alert
Rwanda,2016,29th,70.953,5.9,8.3,9.1,6.2,8.5,7.6,6.8,7.6,7.4,8.2,8,7.7,2.1,0,3.1,3.6,2.4,3.4,Alert
Bangladesh,2016,30th,70.35,7.8,9.6,8.9,6.3,6.9,7.5,8,7.8,7.6,8,6.3,6,3.1,2.5,3,3.5,1.1,1.1,Alert
Burkina Faso,2016,31st,70.35,8.1,8.1,4.7,6.5,8.4,7.2,7.3,8.9,6.3,9.4,6.8,7.7,2.9,0.9,2.1,2.9,2.9,3.9,Alert
Eritrea,2016,32nd,70.283,7.4,8.1,6.6,8.3,7.5,8,9.5,8.6,9.1,9.1,8.5,7.9,0.2,0.8,2.4,2.6,0,0.3,Alert
Libya,2016,33rd,70.149,9.6,9.4,8.3,8,5.8,6.5,9.5,7.2,9.3,5.1,8,9.7,2.5,1.1,0.9,2.8,0.9,0.1,Alert
Ethiopia,2016,34th,70.015,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2,0.6,2.6,0,1.3,2.5,0.3,Alert
Zambia,2016,35th,69.345,4.7,5.7,5.4,8.1,8.9,8.1,7.2,8.1,7.1,9.5,6.6,6.9,1.6,1.6,1.2,2.5,3,7.3,Warning
Mauritania,2016,36th,69.211,7.1,8.8,7.2,7.9,7,6.6,8.2,9.2,8.1,8.9,8.2,8.2,0,1.3,0.6,3.2,2.8,0,Warning
Mali,2016,37th,69.144,9.2,5.2,7.9,7.9,7.6,8.7,6.3,9,7,8.7,8.1,9.6,1.4,1.2,2.4,0,3,0,Warning
Philippines,2016,38th,68.742,9.4,8,8.1,5.7,5.9,6.5,7.2,6.9,5.6,7.7,7.1,6.6,2.1,1.6,2,2.9,1.6,7.7,Warning
Tajikistan,2016,39th,68.206,6.9,8.4,7.6,7.5,5.3,6.4,9.3,5.8,7.9,8.1,4.5,6.1,3.1,1.6,2.7,2.7,2.2,5.7,Warning
Senegal,2016,40th,67.67,5.9,6.6,6.6,7.6,7.6,7.7,5.2,7.6,6.2,8.3,7.5,6.8,5.9,1,1.9,2.3,2.9,3.4,Warning
Sierra Leone,2016,41st,67.603,4.5,7.8,5.9,8.8,8.5,8.7,7.1,9,5.5,9.2,7.9,8.1,2,1.4,1.1,3.2,2.2,0,Warning
Nepal,2016,42nd,67.469,6.7,8.3,9.5,7,7.2,6.7,7.1,7.4,7.4,8.8,8,7.1,1.8,2,2.7,1.9,1.1,0,Warning
Togo,2016,43rd,67.335,6.7,7.6,4.8,6.5,8.4,7.6,8,8.3,6.9,8,6.8,6.2,1.9,0.6,1.3,2.7,2.5,5.7,Warning
Lebanon,2016,44th,67.268,8.9,9.3,8.7,6.1,5.8,5.1,7.8,5.9,7.4,5.8,9.5,9.3,2.8,0,2.4,3,2.6,0,Warning
North Korea,2016,45th,67.067,8.5,8.5,6,8.9,7.7,4.1,10,8.8,9.6,7.9,4.6,9.3,2.2,0.7,0.6,2.7,0,0,Warning
Swaziland,2016,46th,67,6,6.8,3.4,9.4,8.4,7.2,8.8,7.8,8.8,8.9,4.8,7.3,1.2,0.7,2,2.8,0,5.7,Warning
Uzbekistan,2016,47th,66.933,7.3,8.8,7.3,6.5,7.1,6,9.7,5.1,9.4,5.8,5.7,4.8,9.4,0,2.1,3.2,1.7,0,Warning
Gambia,2016,48th,66.598,6,6.8,3.4,8.1,6.9,8.4,8.1,8,8.9,8.5,6.5,7.2,4.5,0.5,1.6,2.8,0,3.2,Warning
Mozambique,2016,49th,66.397,6.7,6.9,5.6,7.7,8.9,7.7,6.7,9.2,5.8,9.5,5.5,7.6,4.2,1,0.6,2.6,2.9,0,Warning
Cambodia,2016,50th,66.397,6.4,8.3,7.1,5.9,6.8,7.8,8.5,8,7.9,7.2,5.9,7.6,1.9,0.8,0.8,2.7,1.6,3.9,Warning
Malawi,2016,51st,66.196,4.5,7.7,5.1,8.6,8.5,8.1,6.6,8.1,6.4,9.3,6.3,8.4,3.7,1.3,0.8,2.5,2.9,0,Warning
Comoros,2016,52nd,65.727,6.9,7.5,5,8.2,7.2,7.6,6.8,8.4,6.5,7.5,4.7,7.5,2.8,1,1.4,2.8,2.3,4,Warning
Egypt,2016,53rd,65.593,8.3,8.8,9,8.4,6.2,4.4,8.4,5.1,9.7,6.8,7,8.1,1.1,1,2.2,3.1,0,0.3,Warning
Tanzania,2016,54th,65.459,5.2,6,5.4,6.4,7.3,7.3,6.1,8.8,6.1,8.9,6.9,7.4,1.3,0.9,2,2.9,3.1,5.7,Warning
Kyrgyz Republic,2016,55th,65.191,6.5,8,8.6,7.2,6.1,6.7,7.9,5.3,7,5.7,5.5,6.6,7.6,1.9,2,2.7,2,0,Warning
Congo Republic,2016,56th,64.454,6.7,6.7,6.9,6.7,8.3,7.1,9.1,9.2,8.2,8.1,7.9,7.3,0,0,0,0,0,4,Warning
