Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fragile State
Somalia,2016,1st,114,9.7,10,9.4,9,9.3,9.5,9.5,9,9.7,9.7,9.7,9.5,Alert
South Sudan,2016,2nd,113.8,10,9.7,9.9,9.3,9,6.6,9.7,10,9.7,9.9,10,10,Alert
Central African Republic,2016,3rd,112.1,9.2,10,9.3,8.6,9.9,7.2,9.8,10,9.9,8.7,10,9.5,Alert
Sudan,2016,4th,111.5,9.2,10,9.8,8.7,7.6,9.1,9.8,9.1,9.3,9,10,9.9,Alert
Yemen,2016,4th,111.5,10,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10,Alert
Syria,2016,6th,110.8,10,9.9,10,7.8,7.4,8.6,10,8.9,9.8,8.4,10,10,Alert
Chad,2016,7th,110.1,9.1,9.8,8.5,8,9.3,8.9,9.2,9.8,9.3,9.9,9.8,8.5,Alert
Congo Democratic Republic,2016,8th,110,9.2,9.8,9.7,8.1,8.9,6.8,9.3,9.7,10,9.1,9.7,9.7,Alert
Afghanistan,2016,9th,107.9,10,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9,Alert
Haiti,2016,10th,105.1,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9,Alert
Iraq,2016,11th,104.7,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7,Alert
Guinea,2016,12th,103.8,9,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6,Alert
Nigeria,2016,13th,103.5,9.7,9.9,9.4,7.7,8.8,7.4,8.8,9.4,9.1,9.1,7.7,6.5,Alert
Pakistan,2016,14th,101.7,9.3,8.9,9.7,7.4,7,7.3,8.3,8.2,8.2,8.9,8.9,9.6,Alert
Burundi,2016,15th,100.7,9,8.5,8.1,8.2,7.4,6.5,9,8.2,8.5,9.5,9.1,8.7,Alert
Zimbabwe,2016,16th,100.5,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7,Alert
Guinea Bissau,2016,17th,99.8,9.1,9.6,5.4,8.5,8.7,8.3,8.9,9.5,7.5,8.3,7.5,8.5,Alert
Eritrea,2016,18th,98.6,7.4,8.1,6.6,8.3,7.5,8,9.5,8.6,9.1,9.1,8.5,7.9,Alert
Niger,2016,19th,98.4,8.9,8.9,7.7,8,8.2,7.2,7.8,9.2,6.7,9.5,8,8.3,Alert
Kenya,2016,20th,98.3,8.5,8.9,9.1,7.4,8,7.8,7.8,8.2,7.2,9.1,8,8.3,Alert
Cote dIvoire,2016,21st,97.9,7.7,9.4,8.3,6.8,8.2,7,8.1,8.7,8.1,8.2,8,9.4,Alert
Cameroon,2016,22nd,97.8,8.1,9.4,8.5,6.3,8.1,7.8,8.7,8.9,7.7,8.3,8,8,Alert
Uganda,2016,23rd,97.7,7.3,8.9,9,6.7,7.6,7.6,8.3,8.5,8,8.7,9.1,8,Alert
Ethiopia,2016,24th,97.2,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2,Alert
Libya,2016,25th,96.4,9.6,9.4,8.3,8,5.8,6.5,9.5,7.2,9.3,5.1,8,9.7,Alert
Myanmar,2016,26th,96.3,8.4,8.6,9.9,6.4,7.9,6,8.7,8.7,8.6,7.3,8.3,7.5,Alert
Liberia,2016,27th,95.5,6.6,8.3,6,8.3,8.6,6.9,7,9.5,6.7,9.2,8.9,9.5,Alert
Mauritania,2016,28th,95.4,7.1,8.8,7.2,7.9,7,6.6,8.2,9.2,8.1,8.9,8.2,8.2,Alert
Mali,2016,29th,95.2,9.2,5.2,7.9,7.9,7.6,8.7,6.3,9,7,8.7,8.1,9.6,Alert
North Korea,2016,30th,93.9,8.5,8.5,6,8.9,7.7,4.1,10,8.8,9.6,7.9,4.6,9.3,Alert
Congo Republic,2016,31st,92.2,6.7,6.7,6.9,6.7,8.3,7.1,9.1,9.2,8.2,8.1,7.9,7.3,Alert
Rwanda,2016,32nd,91.3,5.9,8.3,9.1,6.2,8.5,7.6,6.8,7.6,7.4,8.2,8,7.7,Alert
Nepal,2016,33rd,91.2,6.7,8.3,9.5,7,7.2,6.7,7.1,7.4,7.4,8.8,8,7.1,Alert
Sierra Leone,2016,34th,91,4.5,7.8,5.9,8.8,8.5,8.7,7.1,9,5.5,9.2,7.9,8.1,Alert
Timor-Leste,2016,35th,90.8,7.4,8.3,6.7,8.1,7,7.3,7.1,8.7,5.5,9.2,6.5,9,Alert
Bangladesh,2016,36th,90.7,7.8,9.6,8.9,6.3,6.9,7.5,8,7.8,7.6,8,6.3,6,Alert
Angola,2016,37th,90.5,6.2,7.2,7.7,6.1,9.6,6.3,8.8,9.2,7.5,9,7.3,5.6,Alert
